NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,IDADE,SEXO,TP_ESTADO_CIVIL,RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,CO_ESCOLA,NO_MUNICIPIO_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,532.2,514.5,577.1,526.8,Inglês,1.0,140.0,120.0,120.0,140.0,120.0,640.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,426.9,407.2,536.8,525.9,Inglês,1.0,100.0,120.0,120.0,120.0,40.0,500.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,516.9,500.9,572.4,640.3,Inglês,1.0,180.0,180.0,180.0,180.0,140.0,860.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,602.2,674.8,637.9,72.8,Inglês,1.0,120.0,120.0,120.0,120.0,140.0,620.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,526.9,653.2,596.7,686.3,Inglês,1.0,140.0,120.0,120.0,160.0,200.0,740.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,51.3,427.5,530.7,52.5,Inglês,1.0,120.0,120.0,120.0,120.0,160.0,640.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,467.2,425.9,535.9,423.9,Inglês,1.0,120.0,140.0,100.0,80.0,80.0,520.0,Sim
"1,90E+11",Campinas,16,F,1,parda,1,3,não_respondeu,,,1,1,1,1,404.3,346.2,391.5,461.9,Espanhol,1.0,120.0,40.0,40.0,80.0,0.0,280.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,462.5,57.4,605.5,49.5,Inglês,1.0,120.0,120.0,140.0,160.0,160.0,700.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,514.2,606.3,600.6,536.1,Espanhol,1.0,120.0,140.0,120.0,120.0,120.0,620.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,553.3,640.9,596.9,816.5,Inglês,1.0,120.0,120.0,120.0,120.0,120.0,600.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,520.8,558.1,542.4,61.3,Inglês,1.0,120.0,120.0,120.0,100.0,80.0,540.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,43.5,552.7,531.2,505.7,Inglês,1.0,120.0,120.0,140.0,140.0,140.0,660.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,514.2,544.3,583.1,598.1,Inglês,1.0,160.0,120.0,120.0,140.0,180.0,720.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,362.4,543.4,588.4,61.1,Inglês,1.0,120.0,120.0,140.0,140.0,120.0,640.0,Sim
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,507.9,57.8,580.5,657.1,Inglês,1.0,120.0,140.0,120.0,160.0,160.0,700.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,589.9,588.4,595.9,730.5,Inglês,1.0,160.0,200.0,180.0,160.0,200.0,900.0,Sim
"1,90E+11",Campinas,18,M,1,branca,1,3,não_respondeu,,,1,1,1,1,554.4,565.5,459.6,590.7,Inglês,1.0,60.0,120.0,120.0,120.0,80.0,500.0,Sim
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,583.2,596.6,58.7,740.8,Inglês,1.0,120.0,120.0,120.0,120.0,80.0,560.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,551.1,599.9,583.1,692.8,Inglês,1.0,160.0,120.0,140.0,120.0,180.0,720.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,617.8,686.1,654.9,847.2,Inglês,1.0,160.0,120.0,160.0,160.0,120.0,720.0,Sim
"1,90E+11",Campinas,15,M,1,branca,1,3,não_respondeu,,,1,1,1,1,583.4,599.7,578.4,742.2,Inglês,1.0,140.0,100.0,120.0,140.0,120.0,620.0,Sim
"1,90E+11",Campinas,16,F,1,nao_declarado,1,3,não_respondeu,,,1,1,1,1,595.5,629.7,611.6,732.3,Inglês,1.0,160.0,200.0,180.0,180.0,140.0,860.0,Sim
"1,90E+11",Campinas,16,F,1,parda,1,3,não_respondeu,,,1,1,1,1,410.5,541.4,470.9,399.9,Inglês,1.0,120.0,180.0,120.0,140.0,40.0,600.0,Sim
"1,90E+11",Campinas,15,F,1,branca,1,3,não_respondeu,,,1,1,1,1,595.5,537.5,576.1,518.1,Inglês,1.0,160.0,120.0,120.0,120.0,140.0,660.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,498.1,443.9,497.9,578.2,Inglês,1.0,100.0,120.0,80.0,80.0,40.0,420.0,Sim
"1,90E+11",Campinas,16,F,1,parda,1,3,não_respondeu,,,1,1,1,1,545.2,529.4,61.1,549.5,Inglês,1.0,140.0,140.0,100.0,120.0,140.0,640.0,Sim
